Date,Magnitude
1965-12-31,18
1966-12-31,9
1967-12-31,11
1968-12-31,22
1969-12-31,14
1970-12-31,17
1971-12-31,20
1972-12-31,16
1973-12-31,9
1974-12-31,11
1975-12-31,13
1976-12-31,14
1977-12-31,10
1978-12-31,12
1979-12-31,8
1980-12-31,6
1981-12-31,11
1982-12-31,7
1983-12-31,14
1984-12-31,14
1985-12-31,15
1986-12-31,11
1987-12-31,13
1988-12-31,11
1989-12-31,8
1990-12-31,18
1991-12-31,17
1992-12-31,13
1993-12-31,12
1994-12-31,13
1995-12-31,20
1996-12-31,15
1997-12-31,16
1998-12-31,12
1999-12-31,18
2000-12-31,15
2001-12-31,16
2002-12-31,13
2003-12-31,15
2004-12-31,16
2005-12-31,11
2006-12-31,11
2007-12-31,18
2008-12-31,12
2009-12-31,17
2010-12-31,24
2011-12-31,20
2012-12-31,16
2013-12-31,19
2014-12-31,12
2015-12-31,19
2016-12-31,16
