date,mydat,myimp
2020-09-20,411.23,411.23
2020-09-27,411.29,411.29
2020-10-04,411.28,411.28
2020-10-11,411.34,411.34
2020-10-18,411.75,411.75
2020-10-25,411.71,411.71
2020-11-01,411.99,411.99
2020-11-08,413.01,413.01
2020-11-15,412.76,412.76
2020-11-22,414.07,414.07
2020-11-29,413.97,413.97
2020-12-06,413.63,413.63
2020-12-13,414.15,414.15
2020-12-20,414.84,414.84
2020-12-27,415.33,415.33
2021-01-03,415.38,415.38
2021-01-10,415.07,415.07
2021-01-17,415.42,415.42
2021-01-24,416.01,416.01
2021-01-31,417.12,417.12
2021-02-07,416.92,416.92
2021-02-14,416.51,416.51
2021-02-21,416.31,416.31
2021-02-28,417.97,417.97
2021-03-07,416.94,
2021-03-14,417.79,
2021-03-21,417.72,
2021-03-28,418.03,
2021-04-04,419.28,
2021-04-11,418.96,
2021-04-18,418.2,
2021-04-25,420.01,
2021-05-02,419.53,
2021-05-09,418.48,
2021-05-16,419.09,
2021-05-23,418.92,
2021-05-30,419.55,
2021-06-06,419.47,
2021-06-13,419.06,
2021-06-20,418.33,
2021-06-27,418.08,
2021-07-04,417.47,417.47
2021-07-11,417.51,417.51
2021-07-18,416.74,416.74
2021-07-25,415.62,415.62
2021-08-01,415,415
2021-08-08,414.55,414.55
2021-08-15,414.91,414.91
2021-08-22,413.9,413.9
2021-08-29,413.22,413.22
2021-09-05,413.36,413.36
2021-09-12,413.09,413.09
2021-09-19,413.3,413.3
2021-09-26,413.37,413.37
2021-10-03,413.63,413.63
2021-10-10,413.89,
2021-10-17,414.36,
2021-10-24,413.9,
2021-10-31,414.17,
2021-11-07,414.97,
2021-11-14,414.88,
2021-11-21,415.36,415.36
2021-11-28,416.16,416.16
2021-12-05,415.86,415.86
2021-12-12,416.45,416.45
2021-12-19,417.49,417.49
2021-12-26,417.46,417.46
2022-01-02,417.43,417.43
2022-01-09,418.33,418.33
2022-01-16,417.62,417.62
2022-01-23,419.13,419.13
2022-01-30,419.19,419.19
2022-02-06,418.38,418.38
2022-02-13,419.76,419.76
2022-02-20,419.62,419.62
2022-02-27,419.2,419.2
2022-03-06,418.51,418.51
2022-03-13,418.35,418.35
2022-03-20,418.18,418.18
2022-03-27,420.37,
2022-04-03,420.19,
2022-04-10,420.16,
2022-04-17,420.35,420.35
2022-04-24,420.19,420.19
2022-05-01,420.18,420.18
2022-05-08,421.13,
2022-05-15,420.97,420.97
2022-05-22,421.46,421.46
2022-05-29,421.63,
2022-06-05,421.3,421.3
2022-06-12,421.03,421.03
2022-06-19,420.87,
2022-06-26,420.31,420.31
2022-07-03,419.73,419.73
